angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.13,0.27,,"(811, 383, 381, 381)","(1072, 475, 153, 153)",,0.0,0.0,,0.02,0.09,,0.0,0.02,,0.74,0.07,,0.09,0.53,,0.01,0.01,
0.13,0.39,,"(811, 383, 381, 381)","(1072, 476, 153, 153)",,0.0,0.0,,0.02,0.07,,0.0,0.03,,0.74,0.12,,0.08,0.38,,0.01,0.01,
0.13,0.23,,"(811, 382, 380, 380)","(1074, 475, 152, 152)",,0.0,0.0,,0.02,0.12,,0.0,0.03,,0.77,0.07,,0.07,0.54,,0.01,0.01,
0.13,0.23,,"(811, 383, 381, 381)","(1074, 475, 152, 152)",,0.0,0.0,,0.02,0.12,,0.0,0.03,,0.74,0.07,,0.09,0.54,,0.01,0.01,
0.24,,,"(841, 420, 364, 364)",,,0.0,,,0.05,,,0.01,,,0.49,,,0.13,,,0.07,,
0.25,,,"(840, 420, 364, 364)",,,0.0,,,0.05,,,0.01,,,0.47,,,0.14,,,0.08,,
0.22,,,"(839, 419, 364, 364)",,,0.0,,,0.04,,,0.0,,,0.51,,,0.13,,,0.09,,
0.22,,,"(839, 419, 364, 364)",,,0.0,,,0.04,,,0.0,,,0.52,,,0.12,,,0.09,,
0.15,0.2,0.22,"(839, 406, 379, 379)","(1649, 489, 52, 52)","(1556, 471, 90, 90)",0.0,0.01,0.0,0.06,0.2,0.2,0.04,0.06,0.05,0.56,0.08,0.17,0.12,0.42,0.33,0.06,0.03,0.03
0.15,0.2,0.22,"(839, 406, 379, 379)","(1649, 489, 52, 52)","(1556, 471, 90, 90)",0.0,0.01,0.0,0.06,0.2,0.2,0.04,0.06,0.05,0.57,0.08,0.17,0.12,0.42,0.33,0.06,0.03,0.03
0.16,0.19,0.22,"(839, 406, 379, 379)","(1648, 488, 54, 54)","(1556, 471, 90, 90)",0.0,0.01,0.0,0.06,0.18,0.19,0.04,0.05,0.05,0.55,0.08,0.16,0.13,0.47,0.33,0.06,0.02,0.04
0.13,0.2,0.22,"(839, 407, 377, 377)","(1649, 489, 52, 52)","(1556, 471, 90, 90)",0.0,0.01,0.0,0.04,0.2,0.2,0.06,0.06,0.05,0.59,0.08,0.16,0.12,0.42,0.33,0.06,0.03,0.04
0.1,,,"(808, 377, 392, 392)",,,0.0,,,0.03,,,0.0,,,0.68,,,0.16,,,0.02,,
0.11,,,"(806, 375, 395, 395)",,,0.0,,,0.03,,,0.01,,,0.66,,,0.17,,,0.02,,
0.09,,,"(809, 376, 393, 393)",,,0.0,,,0.03,,,0.0,,,0.71,,,0.14,,,0.03,,
0.1,,,"(808, 377, 392, 392)",,,0.0,,,0.03,,,0.0,,,0.69,,,0.16,,,0.02,,
0.09,0.12,,"(801, 360, 402, 402)","(1553, 462, 98, 98)",,0.0,0.01,,0.02,0.3,,0.0,0.06,,0.82,0.19,,0.06,0.28,,0.01,0.04,
0.09,0.16,,"(801, 360, 402, 402)","(1554, 464, 97, 97)",,0.0,0.0,,0.02,0.24,,0.0,0.04,,0.82,0.15,,0.06,0.38,,0.01,0.04,
0.09,0.12,,"(803, 361, 399, 399)","(1554, 463, 97, 97)",,0.0,0.0,,0.01,0.3,,0.0,0.04,,0.85,0.16,,0.05,0.34,,0.01,0.03,
0.08,0.11,,"(845, 410, 371, 371)","(1554, 463, 97, 97)",,0.0,0.01,,0.09,0.3,,0.04,0.04,,0.49,0.16,,0.13,0.36,,0.17,0.03,
0.09,,,"(811, 370, 403, 403)",,,0.0,,,0.03,,,0.01,,,0.73,,,0.13,,,0.01,,
0.09,,,"(811, 370, 403, 403)",,,0.0,,,0.03,,,0.01,,,0.73,,,0.13,,,0.01,,
0.09,0.13,,"(811, 370, 403, 403)","(1559, 466, 85, 85)",,0.0,0.01,,0.03,0.24,,0.01,0.05,,0.72,0.31,,0.13,0.22,,0.01,0.04,
0.08,,,"(810, 370, 402, 402)",,,0.0,,,0.03,,,0.01,,,0.74,,,0.12,,,0.01,,
0.05,,,"(808, 368, 399, 399)",,,0.0,,,0.01,,,0.01,,,0.88,,,0.04,,,0.01,,
0.04,,,"(808, 366, 400, 400)",,,0.0,,,0.01,,,0.01,,,0.9,,,0.03,,,0.01,,
0.04,,,"(808, 367, 399, 399)",,,0.0,,,0.01,,,0.01,,,0.91,,,0.03,,,0.01,,
0.04,,,"(808, 367, 399, 399)",,,0.0,,,0.01,,,0.01,,,0.91,,,0.03,,,0.01,,
0.11,,,"(833, 407, 381, 381)",,,0.0,,,0.04,,,0.05,,,0.64,,,0.11,,,0.06,,
0.09,,,"(829, 403, 386, 386)",,,0.0,,,0.05,,,0.06,,,0.64,,,0.09,,,0.07,,
0.08,,,"(829, 403, 386, 386)",,,0.0,,,0.05,,,0.06,,,0.65,,,0.09,,,0.07,,
0.09,,,"(829, 402, 387, 387)",,,0.0,,,0.06,,,0.08,,,0.63,,,0.09,,,0.07,,
0.05,,,"(810, 370, 397, 397)",,,0.0,,,0.02,,,0.01,,,0.85,,,0.06,,,0.01,,
0.05,,,"(810, 370, 397, 397)",,,0.0,,,0.02,,,0.01,,,0.85,,,0.06,,,0.01,,
0.05,,,"(810, 370, 397, 397)",,,0.0,,,0.02,,,0.01,,,0.85,,,0.05,,,0.01,,
0.07,,,"(811, 370, 397, 397)",,,0.0,,,0.02,,,0.01,,,0.83,,,0.07,,,0.01,,
0.08,,,"(814, 373, 391, 391)",,,0.0,,,0.04,,,0.06,,,0.67,,,0.13,,,0.02,,
0.1,,,"(814, 373, 394, 394)",,,0.0,,,0.04,,,0.05,,,0.6,,,0.17,,,0.03,,
0.1,,,"(814, 373, 393, 393)",,,0.0,,,0.05,,,0.06,,,0.63,,,0.14,,,0.03,,
0.08,0.11,,"(814, 373, 391, 391)","(1555, 468, 91, 91)",,0.0,0.0,,0.04,0.2,,0.06,0.04,,0.67,0.18,,0.12,0.39,,0.02,0.08,
0.07,0.16,,"(807, 365, 410, 410)","(516, 707, 93, 93)",,0.0,0.01,,0.02,0.12,,0.02,0.11,,0.74,0.08,,0.12,0.5,,0.02,0.02,
0.08,0.14,,"(807, 365, 410, 410)","(516, 708, 93, 93)",,0.0,0.01,,0.02,0.13,,0.03,0.1,,0.73,0.07,,0.12,0.52,,0.02,0.02,
0.08,0.14,,"(807, 364, 411, 411)","(516, 708, 93, 93)",,0.0,0.01,,0.02,0.13,,0.02,0.11,,0.75,0.07,,0.11,0.53,,0.02,0.02,
0.1,0.14,,"(807, 365, 411, 411)","(516, 708, 93, 93)",,0.0,0.01,,0.02,0.13,,0.02,0.1,,0.73,0.07,,0.1,0.53,,0.02,0.02,
0.13,,,"(839, 409, 379, 379)",,,0.0,,,0.05,,,0.02,,,0.64,,,0.09,,,0.07,,
0.13,,,"(839, 409, 379, 379)",,,0.0,,,0.05,,,0.02,,,0.64,,,0.09,,,0.07,,
0.17,,,"(841, 414, 374, 374)",,,0.0,,,0.03,,,0.02,,,0.64,,,0.11,,,0.03,,
0.15,,,"(840, 412, 378, 378)",,,0.0,,,0.02,,,0.01,,,0.68,,,0.12,,,0.02,,
0.06,,,"(830, 399, 392, 392)",,,0.0,,,0.06,,,0.14,,,0.55,,,0.1,,,0.09,,
0.06,,,"(830, 399, 391, 391)",,,0.0,,,0.06,,,0.11,,,0.57,,,0.1,,,0.1,,
0.07,,,"(831, 399, 390, 390)",,,0.0,,,0.06,,,0.1,,,0.57,,,0.1,,,0.09,,
0.08,,,"(828, 395, 395, 395)",,,0.0,,,0.07,,,0.11,,,0.5,,,0.12,,,0.12,,
0.08,,,"(834, 400, 388, 388)",,,0.0,,,0.08,,,0.22,,,0.4,,,0.09,,,0.13,,
0.09,,,"(832, 398, 390, 390)",,,0.0,,,0.08,,,0.14,,,0.45,,,0.08,,,0.17,,
0.09,,,"(832, 398, 390, 390)",,,0.0,,,0.08,,,0.14,,,0.45,,,0.08,,,0.16,,
0.09,,,"(832, 398, 390, 390)",,,0.0,,,0.08,,,0.14,,,0.44,,,0.08,,,0.17,,
0.1,,,"(831, 395, 395, 395)",,,0.0,,,0.04,,,0.13,,,0.57,,,0.07,,,0.09,,
0.1,,,"(831, 395, 395, 395)",,,0.0,,,0.04,,,0.12,,,0.57,,,0.07,,,0.09,,
0.09,,,"(832, 396, 394, 394)",,,0.0,,,0.04,,,0.1,,,0.6,,,0.06,,,0.1,,
0.1,,,"(831, 395, 395, 395)",,,0.0,,,0.04,,,0.12,,,0.58,,,0.07,,,0.09,,
0.08,,,"(811, 368, 400, 400)",,,0.0,,,0.03,,,0.02,,,0.77,,,0.08,,,0.01,,
0.1,,,"(811, 368, 401, 401)",,,0.0,,,0.04,,,0.02,,,0.73,,,0.09,,,0.02,,
0.08,,,"(811, 368, 400, 400)",,,0.0,,,0.03,,,0.02,,,0.77,,,0.08,,,0.01,,
0.08,,,"(811, 368, 400, 400)",,,0.0,,,0.03,,,0.03,,,0.77,,,0.08,,,0.01,,
0.13,,,"(832, 404, 378, 378)",,,0.0,,,0.08,,,0.1,,,0.45,,,0.1,,,0.14,,
0.12,,,"(833, 404, 376, 376)",,,0.0,,,0.06,,,0.09,,,0.53,,,0.09,,,0.12,,
0.1,,,"(833, 403, 376, 376)",,,0.0,,,0.08,,,0.08,,,0.5,,,0.09,,,0.16,,
0.08,,,"(832, 401, 378, 378)",,,0.0,,,0.07,,,0.08,,,0.52,,,0.07,,,0.18,,
0.12,,,"(833, 396, 379, 379)",,,0.0,,,0.06,,,0.05,,,0.52,,,0.14,,,0.12,,
0.12,,,"(833, 396, 379, 379)",,,0.0,,,0.06,,,0.05,,,0.52,,,0.14,,,0.12,,
0.14,,,"(834, 396, 380, 380)",,,0.0,,,0.08,,,0.05,,,0.45,,,0.15,,,0.14,,
0.14,,,"(833, 395, 380, 380)",,,0.0,,,0.06,,,0.04,,,0.49,,,0.15,,,0.12,,
0.02,,,"(811, 374, 391, 391)",,,0.0,,,0.01,,,0.46,,,0.46,,,0.04,,,0.01,,
0.02,,,"(811, 374, 391, 391)",,,0.0,,,0.01,,,0.44,,,0.47,,,0.04,,,0.01,,
0.02,,,"(811, 374, 391, 391)",,,0.0,,,0.01,,,0.44,,,0.47,,,0.04,,,0.01,,
0.03,,,"(810, 373, 393, 393)",,,0.0,,,0.01,,,0.35,,,0.55,,,0.05,,,0.01,,
0.02,,,"(811, 374, 390, 390)",,,0.0,,,0.01,,,0.33,,,0.58,,,0.05,,,0.01,,
